ymd,rain,WL,snapshot,continuous
2022/6/3,0,1.255,,
2022/6/4,0,1.157,,
2022/6/5,9.6976,1.078,,
2022/6/6,24.244,1.046,,
2022/6/7,0,1.13,,
2022/6/8,0,1.143,,
2022/6/9,0,1.148,,
2022/6/10,0,1.148,,
2022/6/11,0.4408,1.139,,
2022/6/12,0,1.091,,
2022/6/13,0,1.037,,
2022/6/14,16.7504,0.978,,
2022/6/15,0.4408,0.947,,
2022/6/16,0,0.904,,
2022/6/17,0,0.855,,
2022/6/18,0,0.8,,
2022/6/19,0,0.757,,
2022/6/20,0,0.706,,
2022/6/21,11.02,0.67,,
2022/6/22,1.3224,0.696,,
2022/6/23,0,0.702,,
2022/6/24,0,0.698,,
2022/6/25,0,0.701,,
2022/6/26,0,0.708,,
2022/6/27,0,0.702,,
2022/6/28,0,0.705,,
2022/6/29,0,0.709,,
2022/6/30,0,0.709,,
2022/7/1,0,0.712,,
2022/7/2,0,0.71,,
2022/7/3,2.204,0.705,,
2022/7/4,3.0856,0.708,,
2022/7/5,11.9016,0.717,,
2022/7/6,16.7504,0.744,,
2022/7/7,0,0.883,,
2022/7/8,0,0.877,,
2022/7/9,3.0856,0.884,,
2022/7/10,0.8816,0.894,,
2022/7/11,0,0.9,,
2022/7/12,41.876,0.902,,
2022/7/13,0,1.164,,
2022/7/14,2.6448,1.191,,
2022/7/15,0,1.216,,
2022/7/16,0,1.198,,
2022/7/17,0,1.204,,
2022/7/18,8,1.238,,
2022/7/19,49,1.252,,
2022/7/20,0,1.456,,
2022/7/21,23,1.499,,
2022/7/22,1.5,1.563,,
2022/7/23,0,1.555,,
2022/7/24,0,1.527,,
2022/7/25,0,1.513,,
2022/7/26,0,1.509,,
2022/7/27,0,1.503,,
2022/7/28,0,1.499,,
2022/7/29,0,1.49,,
2022/7/30,0,1.485,,
2022/7/31,0,1.479,,
2022/8/1,0,1.477,,
2022/8/2,0,1.471,,
2022/8/3,8,1.473,,
2022/8/4,3,1.477,,
2022/8/5,0,1.481,,
2022/8/6,0,1.478,,
2022/8/7,12,1.474,,
2022/8/8,12.5,1.485,,
2022/8/9,0,1.503,,
2022/8/10,0,1.495,,
2022/8/11,0,1.486,,
2022/8/12,2.5,1.482,,
2022/8/13,0,1.483,,
2022/8/14,5.5,1.481,,
2022/8/15,0,1.481,,
2022/8/16,0,1.479,,
2022/8/17,37.5,1.475,,
2022/8/18,19.5,1.534,,
2022/8/19,0,1.547,,
2022/8/20,7.5,1.525,,
2022/8/21,3.5,1.519,,
2022/8/22,0,1.514,,
2022/8/23,0.5,1.505,,
2022/8/24,4,1.5,,
2022/8/25,1.5,1.498,,
2022/8/26,0,1.494,,
2022/8/27,0,1.488,,
2022/8/28,0,1.487,,
2022/8/29,0,1.481,,
2022/8/30,5.5,1.476,,
2022/8/31,0,1.484,,
2022/9/1,51,1.483,2,
2022/9/2,0,1.611,,1
2022/9/3,0,1.556,,1
2022/9/4,0,1.525,,1
2022/9/5,0,1.508,,
2022/9/6,0.5,1.495,2,
2022/9/7,0,1.491,2,
2022/9/8,0,1.482,2,
2022/9/9,0,1.478,,1
2022/9/10,0,1.46,2,1
2022/9/11,0,1.402,,1
2022/9/12,0,1.369,,
2022/9/13,0,1.37,2,
2022/9/14,0,1.368,2,
2022/9/15,0,1.367,,1
2022/9/16,0,1.362,2,1
2022/9/17,0,1.356,,1
2022/9/18,0,1.349,2,1
2022/9/19,38.5,1.35,2,1
2022/9/20,0,1.406,2,1
2022/9/21,0,1.411,2,1
2022/9/22,5,1.403,,1
2022/9/23,0.5,1.432,,1
2022/9/24,0,1.431,2,1
2022/9/25,0,1.435,,1
2022/9/26,0,1.431,2,
2022/9/27,10,1.43,2,
2022/9/28,0,1.446,,1
2022/9/29,0,1.445,2,1
2022/9/30,0,1.446,,1
2022/10/1,0,1.444,,1
2022/10/2,0,1.418,,1
2022/10/3,0,1.389,,1
2022/10/4,0,1.371,2,
2022/10/5,2,1.369,2,1
2022/10/6,0,1.371,,1
2022/10/7,22,1.361,2,1
2022/10/8,0,1.407,2,1
2022/10/9,37.5,1.404,2,1
2022/10/10,9.5,1.507,2,1
2022/10/11,0,1.525,2,1
2022/10/12,0,1.504,,1
2022/10/13,0,1.495,,1
2022/10/14,0,1.485,,1
2022/10/15,0,1.475,,
2022/10/16,0,1.469,2,
2022/10/17,5.5,1.458,2,
2022/10/18,0,1.46,2,
2022/10/19,0,1.457,2,
2022/10/20,0,1.45,,1
2022/10/21,0,1.445,2,1
2022/10/22,0,1.441,,1
2022/10/23,0,1.441,,
2022/10/24,0,1.439,,
2022/10/25,3.5,1.436,2,
2022/10/26,0,1.443,,1
2022/10/27,0,1.44,2,1
2022/10/28,0,1.438,,1
2022/10/29,0,1.439,,1
2022/10/30,0,1.435,,1
2022/10/31,0,1.422,2,
2022/11/1,4,1.419,2,
2022/11/2,0,1.427,,
2022/11/3,0,1.426,2,
2022/11/4,0,1.426,2,
2022/11/5,0,1.425,2,
2022/11/6,0,1.423,2,
2022/11/7,0,1.424,,1
2022/11/8,0,1.424,2,1
2022/11/9,0,1.424,,1
2022/11/10,0,1.423,,1
2022/11/11,0,1.405,2,
2022/11/12,0,1.41,,1
2022/11/13,10,1.402,,1
2022/11/14,0,1.448,2,1
2022/11/15,0,1.43,2,1
2022/11/16,0,1.44,2,1
2022/11/17,0,1.427,,1
2022/11/18,0,1.439,2,
2022/11/19,0,1.431,2,
2022/11/20,7.5,1.429,2,
2022/11/21,3.5,1.437,2,
2022/11/22,0,1.462,2,
2022/11/23,20.5,1.443,,1
2022/11/24,0,1.514,2,1
2022/11/25,0,1.503,2,1
2022/11/26,0,1.491,,1
2022/11/27,0.5,1.505,,1
2022/11/28,0,1.497,,
2022/11/29,28.5,1.47,2,
2022/11/30,1.5,1.53,2,1
2022/12/1,0,1.516,,1
2022/12/2,0,1.513,,
2022/12/3,0,1.506,2,
2022/12/4,0,1.506,,1
2022/12/5,0,1.538,2,1
2022/12/6,0,1.495,2,1
2022/12/7,0,1.494,,1
2022/12/8,0,1.492,,1
2022/12/9,0,1.485,,1
2022/12/10,0,1.475,,
2022/12/11,0,1.484,2,
2022/12/12,0,1.486,,
2022/12/13,4,1.47,2,
2022/12/14,0,1.481,2,
2022/12/15,0,1.481,,1
2022/12/16,0,1.47,,1
2022/12/17,1.5,1.464,2,1
2022/12/18,0.5,1.465,,1
2022/12/19,0,1.47,,
2022/12/20,0,1.463,2,
2022/12/21,6.5,1.455,2,
2022/12/22,0.5,1.434,2,
2022/12/23,0.5,1.481,2,
2022/12/24,0,1.476,,1
2022/12/25,0.5,1.483,,1
2022/12/26,0,1.486,,1
2022/12/27,0,1.479,2,1
2022/12/28,0,1.465,2,1
2022/12/29,0,1.475,2,1
2022/12/30,0,1.469,2,1
2022/12/31,0,1.461,2,1
2023/1/1,0,1.472,2,1
2023/1/2,0,1.466,2,1
2023/1/3,0,1.455,2,1
2023/1/4,0,1.467,,1
2023/1/5,0,1.47,,
2023/1/6,0,1.469,,1
2023/1/7,1,1.452,,1
2023/1/8,0,1.473,2,
2023/1/9,0,1.473,2,
2023/1/10,0,1.475,2,
2023/1/11,0,1.472,2,
2023/1/12,0.5,1.471,,1
2023/1/13,15,1.474,,1
2023/1/14,5.5,1.499,,1
2023/1/15,0,1.513,,
2023/1/16,0,1.511,2,
2023/1/17,0,1.504,2,
2023/1/18,0,1.5,,1
2023/1/19,0,1.499,2,1
2023/1/20,0,1.496,,
2023/1/21,0,1.494,2,
2023/1/22,0,1.494,2,
2023/1/23,2,1.495,2,
2023/1/24,0,1.495,2,
2023/1/25,2,1.5,2,
2023/1/26,1.5,1.494,,1
2023/1/27,1,1.497,,1
2023/1/28,3.5,1.51,2,1
2023/1/29,0,1.498,2,1
2023/1/30,0,1.498,,1
2023/1/31,0,1.501,2,
2023/2/1,0,1.496,,1
2023/2/2,0,1.497,,1
2023/2/3,0,1.496,,1
2023/2/4,0,1.495,,1
2023/2/5,0,1.491,2,1
2023/2/6,0.5,1.488,,1
2023/2/7,2.5,1.49,2,
2023/2/8,0,1.494,2,
2023/2/9,0,1.49,,1
2023/2/10,18.5,1.49,,1
2023/2/11,0,1.53,2,1
2023/2/12,0,1.526,2,1
2023/2/13,4,1.526,,1
2023/2/14,0,1.526,2,1
2023/2/15,0.5,1.522,,1
2023/2/16,0,1.518,2,
2023/2/17,0,1.509,2,
2023/2/18,1,1.515,,1
2023/2/19,8,1.513,,1
2023/2/20,0,1.523,,
2023/2/21,0,1.518,2,
2023/2/22,0,1.509,2,1
2023/2/23,0.5,1.511,,1
2023/2/24,1,1.513,2,
2023/2/25,0,1.513,2,
2023/2/26,0.5,1.507,,1
2023/2/27,0,1.506,,1
2023/2/28,0,1.507,2,1
2023/3/1,1.5,1.504,,1
2023/3/2,1,1.511,,1
2023/3/3,0,1.506,,1
2023/3/4,0,1.495,,1
2023/3/5,0,1.498,2,
2023/3/6,0,1.492,2,
2023/3/7,0,1.481,2,
2023/3/8,0,1.48,2,
2023/3/9,0,1.477,,1
2023/3/10,0,1.473,,1
2023/3/11,0,1.476,,1
2023/3/12,0,1.477,,1
2023/3/13,6,1.482,,1
2023/3/14,0,1.472,2,
2023/3/15,0,1.472,,
2023/3/16,0,1.469,2,
2023/3/17,0.5,1.469,,1
2023/3/18,17.5,1.464,,1
2023/3/19,0,1.49,,1
2023/3/20,0,1.485,,1
2023/3/21,5,1.481,,1
2023/3/22,0,1.486,2,
2023/3/23,30,1.48,2,1
2023/3/24,0,1.548,,1
2023/3/25,2.5,1.539,2,1
2023/3/26,16,1.527,2,1
2023/3/27,0.5,1.555,2,1
2023/3/28,0,1.541,2,1
2023/3/29,0,1.531,,1
2023/3/30,0,1.52,2,
2023/3/31,0,1.514,,
2023/4/1,0,1.512,,1
2023/4/2,0,1.508,2,1
2023/4/3,0,1.504,,1
2023/4/4,0,1.501,2,
2023/4/5,11,1.495,,1
2023/4/6,1,1.504,,1
2023/4/7,39.5,1.503,2,1
2023/4/8,0.5,1.603,2,1
2023/4/9,0,1.562,2,1
2023/4/10,0,1.554,,1
2023/4/11,0,1.553,2,
2023/4/12,1,1.553,2,
2023/4/13,0,1.544,,1
2023/4/14,7,1.541,,1
2023/4/15,30.5,1.543,2,1
2023/4/16,0.5,1.596,,1
2023/4/17,0,1.563,,1
2023/4/18,1.5,1.55,2,1
2023/4/19,5,1.537,,1
2023/4/20,0,1.537,2,
2023/4/21,0,1.526,,1
2023/4/22,0,1.513,,1
2023/4/23,0,1.507,2,1
2023/4/24,0,1.49,,1
2023/4/25,13,1.492,2,
2023/4/26,40.5,1.504,2,
2023/4/27,0,1.604,,1
2023/4/28,0,1.56,,1
2023/4/29,13,1.537,2,
2023/4/30,10.5,1.542,2,
2023/5/1,0,1.559,2,
2023/5/2,0,1.542,2,
2023/5/3,0,1.526,,1
2023/5/4,0,1.518,,1
2023/5/5,0,1.504,,1
2023/5/6,9.5,1.497,,1
2023/5/7,83.5,1.505,2,
2023/5/8,3,1.781,2,
2023/5/9,0,1.674,2,
2023/5/10,0,1.592,2,
2023/5/11,0,1.551,,1
2023/5/12,0,1.528,,1
2023/5/13,12,1.514,2,1
2023/5/14,10.5,1.527,2,1
2023/5/15,0,1.538,,1
2023/5/16,0,1.525,2,
2023/5/17,0,1.515,,1
2023/5/18,4,1.507,,1
2023/5/19,42,1.513,2,
2023/5/20,0,1.618,,1
2023/5/21,0,1.575,,1
2023/5/22,11.5,1.547,2,
2023/5/23,0,1.553,2,
2023/5/24,0,1.531,2,1
2023/5/25,0,1.516,,1
2023/5/26,0,1.507,,1
2023/5/27,0,1.501,2,1
2023/5/28,0,1.486,,1
2023/5/29,35,1.46,2,1
2023/5/30,17,1.513,,1
2023/5/31,0.5,1.565,2,
2023/6/1,19,1.532,,1
2023/6/2,65,1.533,2,1
2023/6/3,0,1.738,2,1
2023/6/4,0,1.61,2,1
2023/6/5,0,1.535,,1
2023/6/6,3,1.506,2,
2023/6/7,0,1.497,2,
2023/6/8,30.5,1.472,,1
2023/6/9,5,1.517,2,1
2023/6/10,0,1.537,,1
2023/6/11,7.5,1.498,2,
2023/6/12,5.5,1.488,2,1
2023/6/13,0,1.474,,1
2023/6/14,9.5,1.454,2,1
2023/6/15,0,1.471,,1
2023/6/16,0,1.435,2,1
2023/6/17,0,1.422,2,1
2023/6/18,0,1.396,,1
2023/6/19,0,1.369,2,
2023/6/20,0,1.329,2,
2023/6/21,0,1.302,2,
2023/6/22,15.5,1.295,,1
2023/6/23,0,1.315,2,1
2023/6/24,0,1.292,2,1
2023/6/25,0,1.279,,1
2023/6/26,1.5,1.28,,1
2023/6/27,0.5,1.289,2,1
2023/6/28,3,1.3,2,1
2023/6/29,1,1.309,,1
2023/6/30,8.5,1.31,,1
2023/7/1,17,1.341,,1
2023/7/2,0,1.4,2,
2023/7/3,0,1.409,,1
2023/7/4,0,1.401,2,1
2023/7/5,48,1.392,2,1
2023/7/6,0,1.562,,1
2023/7/7,5.5,1.562,2,
2023/7/8,2.5,1.544,,1
2023/7/9,33,1.534,,1
2023/7/10,0.5,1.591,,1
2023/7/11,0,1.559,2,
2023/7/12,1.5,1.536,,1
2023/7/13,7,1.516,2,1
2023/7/14,0,1.523,,1
2023/7/15,0,1.515,2,1
2023/7/16,0,1.509,,1
2023/7/17,0,1.494,2,1
2023/7/18,0,1.489,2,1
2023/7/19,6,1.486,2,1
2023/7/20,0,1.494,,1
2023/7/21,0,1.492,,1
2023/7/22,0,1.476,2,1
2023/7/23,0,1.474,,1
2023/7/24,0,1.472,,1
2023/7/25,0.5,1.48,2,1
2023/7/26,0,1.477,2,1
2023/7/27,0,1.473,,1
2023/7/28,0,1.479,2,
2023/7/29,0,1.478,2,
2023/7/30,0,1.479,2,
2023/7/31,0,1.48,2,
2023/8/1,0,1.48,2,
2023/8/2,0,1.478,2,1
2023/8/3,0,1.474,2,1
2023/8/4,0,1.477,,1
2023/8/5,0,1.475,,1
2023/8/6,13,1.477,,1
2023/8/7,0.5,1.499,2,1
2023/8/8,1,1.49,2,1
2023/8/9,1,1.492,2,1
2023/8/10,0,1.491,2,1
2023/8/11,0,1.484,,1
2023/8/12,0,1.48,,1
2023/8/13,0,1.477,,1
2023/8/14,0.5,1.477,,1
2023/8/15,86,1.466,2,
2023/8/16,0,1.62,,1
2023/8/17,4,1.537,,1
2023/8/18,0.5,1.511,,1
2023/8/19,0,1.5,2,1
2023/8/20,0,1.493,2,1
2023/8/21,4,1.489,,1
2023/8/22,8.5,1.488,2,
2023/8/23,47.5,1.498,2,
2023/8/24,5,1.586,,1
2023/8/25,0,1.559,,1
2023/8/26,0,1.52,,1
2023/8/27,0,1.499,2,1
2023/8/28,0,1.491,,1
2023/8/29,0,1.481,2,
2023/8/30,0,1.471,2,
2023/8/31,23,1.475,2,
